IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","CL_0000535","","","","secondary neuron","cell_type"
"getNextPvId()","","CL_0000545","","","","T-helper 1 cell","cell_type"
"getNextPvId()","","CL_0000546","","","","T-helper 2 cell","cell_type"
"getNextPvId()","","CL_0000547","","","","proerythroblast","cell_type"
"getNextPvId()","","CL_0000765","","","","erythroblast","cell_type"
"getNextPvId()","","CL_0000549","","","","basophilic erythroblast","cell_type"
"getNextPvId()","","CL_0000550","","","","polychromatophilic erythroblast","cell_type"
"getNextPvId()","","CL_0000552","","","","orthochromatic erythroblast","cell_type"
"getNextPvId()","","CL_0000553","","","","megakaryocyte progenitor cell","cell_type"
"getNextPvId()","","CL_0000557","","","UBERON_0004765","granulocyte monocyte progenitor cell","cell_type"
"getNextPvId()","","CL_0000559","","","","promonocyte","cell_type"
"getNextPvId()","","CL_0000740","","","UBERON_0000970","retinal ganglion cell","cell_type"
"getNextPvId()","","CL_0000561","","","","amacrine cell","cell_type"
"getNextPvId()","","CL_0002421","","","","nucleated reticulocyte","cell_type"
"getNextPvId()","","CL_0000562","","","","nucleate erythrocyte","cell_type"
"getNextPvId()","","CL_0000836","","","","promyelocyte","cell_type"
"getNextPvId()","","CL_0000564","","","","neutrophilic promyelocyte","cell_type"
"getNextPvId()","","CL_0000568","","","","amine precursor uptake and decarboxylation cell","cell_type"
"getNextPvId()","","CL_0002494","","","UBERON_0000948","cardiocyte","cell_type"
"getNextPvId()","","CL_0000569","","","","cardiac mesenchymal cell","cell_type"
"getNextPvId()","","CL_0000710","","","","neurecto-epithelial cell","cell_type"
"getNextPvId()","","CL_0000570","","","UBERON_0002046","parafollicular cell","cell_type"
"getNextPvId()","","CL_0000443","","","","calcitonin secreting cell","cell_type"
"getNextPvId()","","CL_0002672","","","","retinal progenitor cell","cell_type"
"getNextPvId()","","CL_0000573","","","UBERON_0000970","retinal cone cell","cell_type"
"getNextPvId()","","CL_0000575","","","UBERON_0000970","corneal epithelial cell","cell_type"
"getNextPvId()","","CL_0000577","","","","type EC enteroendocrine cell","cell_type"
"getNextPvId()","","CL_0000776","","","","immature neutrophil","cell_type"
"getNextPvId()","","CL_0000580","","","","neutrophilic myelocyte","cell_type"
"getNextPvId()","","CL_0000581","","","","peritoneal macrophage","cell_type"
"getNextPvId()","","CL_0000582","","","","neutrophilic metamyelocyte","cell_type"
"getNextPvId()","","CL_0000583","","","","alveolar macrophage","cell_type"
"getNextPvId()","","CL_0000584","","","","enterocyte","cell_type"
